Number,bayGate,bayBith,sellGate,sellBith,diffSell,diffBay,timeServer,timeGate,timeBith,percentBonus,bayOrSellGate,bayOrSellBith,init
2151,1.09169224,1.09917308,1.09711986,1.10376799,0.00205321,-0.01207575,1634830154792,1634830154556,1634830154605,0.0019,0,0,1
2152,1.09170222,1.09917308,1.096689,1.10376799,0.00248407,-0.01206577,1634830154848,1634830154662,1634830154720,0.0023,2,0,1
2153,1.0917122,1.09917308,1.09659882,1.10376799,0.00257425,-0.01205579,1634830154970,1634830154766,1634830154725,0.0023,2,0,1
2154,1.09173216,1.09917308,1.09630824,1.10376799,0.00286484,-0.01203583,1634830155327,1634830154973,1634830154725,0.0026,2,0,1
2155,1.09173216,1.09917308,1.09626816,1.10376799,0.00290492,-0.01203583,1634830155382,1634830155072,1634830154725,0.0026,0,0,1
2156,1.09174214,1.09917308,1.09649862,1.10376799,0.00267445,-0.01202585,1634830155440,1634830155162,1634830154725,0.0024,2,0,1
2157,1.09175212,1.09917308,1.09617798,1.10376799,0.00299509,-0.01201587,1634830155552,1634830155263,1634830155389,0.0027,2,0,1
2158,1.0915625,1.09917308,1.0961379,1.10376799,0.00303517,-0.01220549,1634830155630,1634830155373,1634830155389,0.0028,2,0,1
2159,1.09152258,1.09917308,1.09616796,1.10376799,0.00300511,-0.01224541,1634830155667,1634830155476,1634830155389,0.0027,2,0,1
2160,1.09152258,1.09917308,1.0959375,1.10376799,0.00323557,-0.01224541,1634830155880,1634830155667,1634830155666,0.003,0,0,1
2161,1.09135292,1.09917308,1.09590744,1.10376799,0.00326563,-0.01241507,1634830156047,1634830155875,1634830155666,0.003,2,0,1
2162,1.09134294,1.09917308,1.0958874,1.10376799,0.00328568,-0.01242505,1634830156216,1634830155997,1634830155666,0.003,2,0,1
2163,1.09134294,1.09917308,1.09572708,1.10376799,0.003446,-0.01242505,1634830156247,1634830156073,1634830155666,0.0031,0,0,1
2164,1.0910136,1.09917308,1.09572708,1.10376799,0.003446,-0.01275439,1634830156348,1634830156169,1634830155666,0.0031,1,0,1
2165,1.09119324,1.09917308,1.09561686,1.10376799,0.00355622,-0.01257475,1634830156475,1634830156275,1634830156291,0.0032,2,0,1
2166,1.09119324,1.09816484,1.09561686,1.10376799,0.00254798,-0.01257475,1634830156640,1634830156275,1634830156516,0.0023,2,1,0
2167,1.09083396,1.09816484,1.09539642,1.10376799,0.00276842,-0.01293403,1634830156656,1634830156459,1634830156522,0.0025,2,1,1
2168,1.090814,1.09816484,1.0953864,1.10376799,0.00277844,-0.01295399,1634830156839,1634830156553,1634830156522,0.0025,2,1,1
2169,1.09059444,1.09816484,1.09519602,1.10376799,0.00296882,-0.01317355,1634830156869,1634830156660,1634830156522,0.0027,2,1,1
2170,1.09052458,1.09816484,1.09505574,1.10376799,0.0031091,-0.01324341,1634830157114,1634830156866,1634830156935,0.0028,2,1,1
2171,1.09052458,1.09816484,1.09497558,1.10376799,0.00318926,-0.01324341,1634830157248,1634830157067,1634830157079,0.0029,0,1,1
2172,1.09052458,1.09816484,1.09500564,1.10376799,0.0031592,-0.01324341,1634830157386,1634830157187,1634830157079,0.0029,0,1,1
2173,1.09039484,1.09816484,1.09490544,1.10376799,0.0032594,-0.01337315,1634830157503,1634830157271,1634830157374,0.003,2,1,1
2174,1.09014534,1.09816484,1.09500564,1.10376799,0.0031592,-0.01362265,1634830157650,1634830157488,1634830157457,0.0029,2,1,1
2175,1.09037488,1.09816484,1.09490544,1.10376799,0.0032594,-0.01339311,1634830157803,1634830157536,1634830157457,0.003,2,1,1
2176,1.09037488,1.09815486,1.09490544,1.10376799,0.00324942,-0.01339311,1634830157815,1634830157536,1634830157686,0.003,2,1,0
2177,1.09037488,1.098075,1.09490544,1.10376799,0.00316956,-0.01339311,1634830157817,1634830157536,1634830157689,0.0029,2,1,0
2178,1.09029504,1.098075,1.09477518,1.10376799,0.00329982,-0.01347295,1634830157859,1634830157648,1634830157725,0.003,2,1,1
2179,1.08988586,1.098075,1.09459553,1.10376799,0.00347947,-0.01388213,1634830157972,1634830157764,1634830157725,0.0032,2,1,1
2180,1.08989584,1.098075,1.09459553,1.10376799,0.00347947,-0.01387215,1634830158115,1634830157863,1634830157927,0.0032,1,1,1
2181,1.08988586,1.098075,1.09459553,1.10376799,0.00347947,-0.01388213,1634830158157,1634830157963,1634830157927,0.0032,1,1,1
2182,1.08988586,1.098075,1.09456476,1.10376799,0.00351024,-0.01388213,1634830158539,1634830158264,1634830157927,0.0032,0,1,1
2183,1.08955652,1.098075,1.09435434,1.10376799,0.00372066,-0.01421147,1634830158583,1634830158377,1634830157927,0.0034,2,1,1
2184,1.0895166,1.098075,1.09426416,1.10376799,0.00381084,-0.01425139,1634830158661,1634830158469,1634830157927,0.0035,2,1,1
2185,1.08885792,1.098075,1.09426416,1.10376799,0.00381084,-0.01491007,1634830158770,1634830158568,1634830158583,0.0035,1,1,1
2186,1.08885792,1.098075,1.09390344,1.10376799,0.00417156,-0.01491007,1634830158869,1634830158665,1634830158583,0.0038,0,1,1
2187,1.088818,1.098075,1.09394352,1.10376799,0.00413148,-0.01494999,1634830158975,1634830158766,1634830158778,0.0038,2,1,1
2188,1.08882798,1.098075,1.0937331,1.10376799,0.0043419,-0.01494001,1634830159077,1634830158878,1634830158778,0.004,2,1,1
2189,1.08879804,1.098075,1.0932321,1.10376799,0.0048429,-0.01496995,1634830159438,1634830159174,1634830159279,0.0044,2,1,1
2190,1.08879804,1.098075,1.09320204,1.10376799,0.00487296,-0.01496995,1634830159473,1634830159269,1634830159279,0.0045,0,1,1
2191,1.08862838,1.098075,1.09340244,1.10376799,0.00467256,-0.01513961,1634830159560,1634830159378,1634830159279,0.0043,2,1,1
2192,1.08849864,1.098075,1.09317198,1.10376799,0.00490302,-0.01526935,1634830159714,1634830159481,1634830159519,0.0045,2,1,1
2193,1.08842878,1.098075,1.09310184,1.10376799,0.00497316,-0.01533921,1634830159775,1634830159562,1634830159519,0.0045,2,1,1
2194,1.0880196,1.098075,1.09294152,1.10376799,0.00513348,-0.01574839,1634830159866,1634830159666,1634830159675,0.0047,2,1,1
2195,1.0886184,1.098075,1.09309182,1.10376799,0.00498318,-0.01514959,1634830159987,1634830159753,1634830159752,0.0046,2,1,1
2196,1.0880196,1.098075,1.0928814,1.10376799,0.0051936,-0.01574839,1634830160056,1634830159875,1634830159752,0.0048,2,1,1
2197,1.0880196,1.098075,1.09239042,1.10376799,0.00568458,-0.01574839,1634830160175,1634830159967,1634830159752,0.0052,0,1,1
2198,1.08782,1.098075,1.09239042,1.10376799,0.00568458,-0.01594799,1634830160247,1634830160066,1634830159752,0.0052,1,1,1
2199,1.0870216,1.098075,1.09153872,1.10376799,0.00653628,-0.01674639,1634830160756,1634830160559,1634830160593,0.006,2,1,1
2200,1.0870216,1.09508025,1.09153872,1.10376799,0.00354153,-0.01674639,1634830160812,1634830160559,1634830160682,0.0032,2,1,0
2201,1.0870216,1.09508025,1.09153872,1.09958276,0.00354153,-0.01256116,1634830160822,1634830160559,1634830160683,0.0032,2,0,0
