Number,buyGate,buyBith,sellGate,sellBith,diffSell,diffBuy,timeServer,timeGate,timeBith,percentBonus,buyOrSellGate,buyOrSellBith,init
247002,0.9882196,0.85368344,0.99237078,0.93115249,-0.13868734,0.05706711,1640227209086,1640227208890,1640227208287,0.0613,2,1,1
247003,0.9882196,0.85368344,0.99231066,0.93115249,-0.13862722,0.05706711,1640227209615,1640227209405,1640227208287,0.0613,0,1,1
247004,0.98808986,0.85368344,0.99227058,0.93115249,-0.13858714,0.05693737,1640227209685,1640227209511,1640227208287,0.0611,2,1,1
247005,0.98829944,0.85368344,0.99227058,0.93115249,-0.13858714,0.05714695,1640227209989,1640227209803,1640227208287,0.0614,1,1,1
247006,0.98808986,0.85368344,0.99227058,0.93115249,-0.13858714,0.05693737,1640227210094,1640227209904,1640227208287,0.0611,1,1,1
247007,0.98808986,0.85368344,0.99211026,0.93115249,-0.13842682,0.05693737,1640227210190,1640227210000,1640227208287,0.0611,0,1,1
247008,0.98807988,0.85368344,0.99205014,0.93115249,-0.1383667,0.05692739,1640227210281,1640227210099,1640227208287,0.0611,2,1,1
247009,0.98807988,0.8537034,0.99205014,0.93115249,-0.13834674,0.05692739,1640227211680,1640227210099,1640227211563,0.0611,2,1,0
247010,0.98827948,0.8537034,0.99236076,0.93115249,-0.13865736,0.05712699,1640227211988,1640227211818,1640227211760,0.0614,2,1,1
247011,0.9883693,0.8537034,0.9923808,0.93115249,-0.1386774,0.05721681,1640227212125,1640227211905,1640227211760,0.0614,2,1,1
247012,0.98829944,0.8537034,0.99232068,0.93115249,-0.13861728,0.05714695,1640227212185,1640227212001,1640227211760,0.0614,2,1,1
247013,0.98829944,0.8537034,0.9922806,0.93115249,-0.1385772,0.05714695,1640227212397,1640227212206,1640227211760,0.0614,0,1,1
247014,0.98829944,0.8537034,0.99231066,0.93115249,-0.13860726,0.05714695,1640227212488,1640227212299,1640227211760,0.0614,0,1,1
247015,0.98829944,0.8537034,0.99227058,0.93115249,-0.13856718,0.05714695,1640227212595,1640227212388,1640227211760,0.0614,0,1,1
247016,0.9881198,0.8537034,0.99219042,0.93115249,-0.13848702,0.05696731,1640227212895,1640227212700,1640227211760,0.0612,2,1,1
247017,0.98802,0.8537034,0.99200004,0.93115249,-0.13829664,0.05686751,1640227212997,1640227212803,1640227211760,0.0611,2,1,1
247018,0.98788028,0.8537034,0.99184974,0.93115249,-0.13814634,0.05672779,1640227213096,1640227212903,1640227212934,0.0609,2,1,1
247019,0.98788028,0.85371338,0.99184974,0.93115249,-0.13813636,0.05672779,1640227213206,1640227212903,1640227213088,0.0609,2,1,0
247020,0.9877206,0.85371338,0.99176958,0.93115249,-0.1380562,0.05656811,1640227213262,1640227212985,1640227213095,0.0608,2,1,1
247021,0.98775054,0.85371338,0.99179964,0.93115249,-0.13808626,0.05659805,1640227213403,1640227213208,1640227213095,0.0608,2,1,1
247022,0.98778048,0.85371338,0.9920301,0.93115249,-0.13831672,0.05662799,1640227213494,1640227213305,1640227213095,0.0608,2,1,1
247023,0.98778048,0.85371338,0.99190986,0.93115249,-0.13819648,0.05662799,1640227213605,1640227213404,1640227213095,0.0608,0,1,1
